电影名称,电影地址,电影评分,电影类型,上映日期,国家地区
肖申克的救赎,https://movie.douban.com//subject//1292052//,9.6,"['剧情', '犯罪']",['(1994)'],['美国']
霸王别姬,https://movie.douban.com//subject//1291546//,9.5,"['å‰§æƒ…', 'çˆ±æƒ…', 'å�Œæ€§']",['(1993)'],[]
这个杀手不太冷,https://movie.douban.com//subject//1295644//,9.4,"['剧情', '动作', '犯罪']",['(1994)'],['法国']
阿甘正传,https://movie.douban.com//subject//1292720//,9.4,"['剧情', '爱情']",['(1994)'],['美国']
盗梦空间,https://movie.douban.com//subject//3541415//,9.3,"['剧情', '科幻', '悬疑', '冒险']",['(2010)'],['美国 / 英国']
美丽人生,https://movie.douban.com//subject//1292063//,9.5,"['剧情', '喜剧', '爱情', '战争']",['(1997)'],['意大利']
忠犬八公的故事,https://movie.douban.com//subject//3011091//,9.3,['剧情'],['(2009)'],['美国 / 英国']
泰坦尼克号,https://movie.douban.com//subject//1292722//,9.3,"['剧情', '爱情', '灾难']",['(1997)'],['美国']
辛德勒的名单,https://movie.douban.com//subject//1295124//,9.4,"['å‰§æƒ…', 'å�†å�²', 'æˆ˜äº‰']",['(1993)'],[]
机器人总动员,https://movie.douban.com//subject//2131459//,9.3,"['爱情', '科幻', '动画', '冒险']",['(2008)'],['美国']
星际穿越,https://movie.douban.com//subject//1889243//,9.2,"['剧情', '科幻', '冒险']",['(2014)'],['美国 / 英国 / 加拿大 / 冰岛']
千与千寻,https://movie.douban.com//subject//1291561//,9.3,"['å‰§æƒ…', 'åŠ¨ç”»', 'å¥‡å¹»']",['(2001)'],[]
控方证人,https://movie.douban.com//subject//1296141//,9.6,"['剧情', '悬疑', '犯罪']",['(1957)'],['美国']
放牛班的春天,https://movie.douban.com//subject//1291549//,9.2,"['剧情', '音乐']",['(2004)'],['法国 / 瑞士 / 德国']
摔跤吧！爸爸,https://movie.douban.com//subject//26387939//,9.1,"['剧情', '家庭', '传记', '运动']",['(2016)'],['印度']
疯狂动物城,https://movie.douban.com//subject//25662329//,9.1,"['å–œå‰§', 'åŠ¨ç”»', 'å†’é™©']",['(2016)'],[]
大话西游之大圣娶亲,https://movie.douban.com//subject//1292213//,9.2,"['喜剧', '爱情', '奇幻', '冒险']",['(1995)'],['香港 / 中国大陆']
楚门的世界,https://movie.douban.com//subject//1292064//,9.1,"['剧情', '科幻']",['(1998)'],['美国']
三傻大闹宝莱坞,https://movie.douban.com//subject//3793023//,9.2,"['剧情', '喜剧', '爱情', '歌舞']",['(2009)'],['印度']
海上钢琴师,https://movie.douban.com//subject//1292001//,9.2,"['剧情', '音乐']",['(1998)'],['意大利']
辩护人,https://movie.douban.com//subject//21937445//,9.2,['剧情'],['(2013)'],['韩国']
寻梦环游记,https://movie.douban.com//subject//20495023//,9.0,"['喜剧', '动画', '音乐', '奇幻']",['(2017)'],['美国']
触不可及,https://movie.douban.com//subject//6786002//,9.2,"['剧情', '喜剧']",['(2011)'],['法国']
